task,method,n,mean,std,stderr
Titanic,Linear,2,0.9509,0.0036,0.0025
Titanic,AIRA,2,0.9438,0.0012,0.0008
Titanic,MLEvolve,3,0.9458,0.0030,0.0017
Titanic,ARTS,2,0.9845,0.0036,0.0025
CIFAR-10,Linear,2,0.9562,0.0021,0.0015
CIFAR-10,AIRA,2,0.9639,0.0015,0.0011
CIFAR-10,MLEvolve,3,0.9590,0.0039,0.0023
CIFAR-10,ARTS,2,0.9710,0.0168,0.0119
Fashion MNIST,Linear,2,0.9462,0.0057,0.0041
Fashion MNIST,AIRA,2,0.9474,0.0001,0.0001
Fashion MNIST,MLEvolve,3,0.9481,0.0019,0.0011
Fashion MNIST,ARTS,2,0.9583,0.0006,0.0005
MNLI,Linear,2,84.4218,0.0509,0.0360
MNLI,AIRA,2,83.7748,0.0458,0.0324
MNLI,MLEvolve,3,84.2622,0.1177,0.0680
MNLI,ARTS,2,84.7122,0.4941,0.3494
Lang. Modeling,Linear,3,3.9059,0.2385,0.1377
Lang. Modeling,AIRA,2,4.6727,0.0000,0.0000
Lang. Modeling,MLEvolve,3,4.0146,0.2062,0.1191
Lang. Modeling,ARTS,3,3.8269,0.1247,0.0720
Battle of Sexes,Linear,2,1.4482,0.0006,0.0004
Battle of Sexes,AIRA,2,1.4421,0.0007,0.0005
Battle of Sexes,MLEvolve,3,1.4457,0.0004,0.0002
Battle of Sexes,ARTS,3,2.0000,0.0000,0.0000
Prisoner's Dilem.,Linear,2,2.4525,0.1024,0.0724
Prisoner's Dilem.,AIRA,2,2.5011,0.1295,0.0915
Prisoner's Dilem.,MLEvolve,3,2.6347,0.0167,0.0097
Prisoner's Dilem.,ARTS,3,2.8574,0.3175,0.1833
Blotto,Linear,2,-0.0759,0.3270,0.2312
Blotto,AIRA,2,0.2474,0.0031,0.0022
Blotto,MLEvolve,3,0.2502,0.0011,0.0007
Blotto,ARTS,3,0.2487,0.0008,0.0004
Breakout,Linear,3,64.0266,15.2024,8.7771
Breakout,AIRA,3,57.9434,4.7640,2.7505
Breakout,MLEvolve,3,83.2808,5.4292,3.1346
Breakout,ARTS,3,77.9960,3.1550,1.8215
MountainCar,Linear,3,45.4371,10.8592,6.2696
MountainCar,AIRA,3,80.8216,20.3541,11.7514
MountainCar,MLEvolve,3,84.8377,11.0553,6.3828
MountainCar,ARTS,1,95.7318,0.0000,0.0000
Meta Maze,Linear,3,46.8000,4.5274,2.6139
Meta Maze,AIRA,3,36.4224,11.2051,6.4693
Meta Maze,MLEvolve,3,45.3474,5.6571,3.2661
Meta Maze,ARTS,2,51.2023,1.4551,1.0289
Spaceship Titanic,Linear,3,0.8245,0.0081,0.0047
Spaceship Titanic,AIRA,1,0.8310,0.0000,0.0000
Spaceship Titanic,MLEvolve,3,0.8345,0.0019,0.0011
Spaceship Titanic,ARTS,2,0.8362,0.0006,0.0004
Nomad 2018,Linear,1,0.0626,0.0000,0.0000
Nomad 2018,AIRA,3,0.0623,0.0014,0.0008
Nomad 2018,MLEvolve,3,0.0630,0.0004,0.0003
Nomad 2018,ARTS,2,0.0645,0.0008,0.0006
Jigsaw Toxic,Linear,2,0.9802,0.0001,0.0001
Jigsaw Toxic,AIRA,2,0.9798,0.0004,0.0003
Jigsaw Toxic,MLEvolve,3,0.9802,0.0000,0.0000
Jigsaw Toxic,ARTS,3,0.9804,0.0006,0.0003
APTOS,Linear,3,0.9262,0.0016,0.0009
APTOS,AIRA,2,0.9217,0.0059,0.0041
APTOS,MLEvolve,3,0.9138,0.0057,0.0033
APTOS,ARTS,3,0.9298,0.0063,0.0037
Plant Pathology,Linear,1,0.9935,0.0000,0.0000
Plant Pathology,AIRA,3,0.9970,0.0001,0.0001
Plant Pathology,MLEvolve,3,0.9976,0.0005,0.0003
Plant Pathology,ARTS,2,0.9954,0.0031,0.0022
Histo Cancer,Linear,1,0.9904,0.0000,0.0000
Histo Cancer,AIRA,2,0.9949,0.0002,0.0002
Histo Cancer,MLEvolve,3,0.9939,0.0004,0.0002
Histo Cancer,ARTS,2,0.9954,0.0002,0.0001
Vesuvius,Linear,3,0.4794,0.0954,0.0551
Vesuvius,AIRA,3,0.3087,0.1584,0.0915
Vesuvius,MLEvolve,3,0.5495,0.0150,0.0086
Vesuvius,ARTS,3,0.5511,0.0295,0.0170
Kuzushiji,Linear,2,0.8942,0.0396,0.0280
Kuzushiji,AIRA,3,0.8724,0.0369,0.0213
Kuzushiji,MLEvolve,3,0.9209,0.0126,0.0073
Kuzushiji,ARTS,3,0.8433,0.0487,0.0281
HMS Brain,Linear,2,0.5431,0.0545,0.0385
HMS Brain,AIRA,3,0.5498,0.0277,0.0160
HMS Brain,MLEvolve,3,0.5829,0.0183,0.0106
HMS Brain,ARTS,3,0.4994,0.0113,0.0065
RSNA,Linear,3,0.6380,0.0070,0.0040
RSNA,AIRA,3,0.6494,0.0196,0.0113
RSNA,MLEvolve,3,0.6561,0.0153,0.0088
RSNA,ARTS,3,0.6731,0.0303,0.0175
